Keyword,Search Volume,Keyword Difficulty,Target Page URL,Current Ranking,Previous Ranking,Ranking Change,Priority Keyword (Yes/No)
b2b saas seo,1200,65,/services/b2b-saas-seo,45,50,+5,Yes
enterprise seo strategy,800,70,/services/enterprise-seo,22,22,0,Yes
b2b organic lead generation,500,55,/services/lead-generation,18,25,+7,Yes
fintech seo case study,300,45,/case-studies/fintech,12,15,+3,No
enterprise technical seo,900,68,/services/technical-seo,35,40,+5,Yes
b2b content strategy,1500,60,/services/content-marketing,28,30,+2,Yes
ai search optimization b2b,400,40,/blog/ai-search-b2b,N/A,N/A,New,No
b2b link building,1000,75,/services/link-building,55,60,+5,Yes
seo cac reduction,200,35,/case-studies/cac-reduction,N/A,N/A,New,No
b2b digital marketing agency,2500,80,/,15,18,+3,Yes
